Course Code,Course Title,Credit Hour,Prerequisite,Content
EEE1301,Electronic Devices and Circuits I,3.00,N/A,"Introduction to semiconductors: intrinsic, p-type and n-type. PN junction: formation, and operating principles. PN junction diode: current-voltage characteristics, simplified models, dynamic resistance and capacitance. Zener diode: current-voltage characteristics and its applications. Diode circuits: Half-wave and full wave rectifiers with filter capacitors, Clippers and clampers, Zener shunt regulator. Metal-Oxide-Semiconductor Field-Effect-Transistor (MOSFET): structure, physical operation, current- voltage characteristics and regions of operations, small signal equivalent circuit models; Secondary effects: body effect, channel length modulation, Early effect and short channel effects; MOS amplifiers- biasing discrete and integrated MOS amplifier circuits, Single stage amplifier circuits, their configurations and DC analysis; AC analysis of single stage MOS amplifiers- Voltage and current gain, input and output resistances. MOSFET as active loads, MOSFET as a switch. Bipolar junction transistor (BJT): Basic structure. physical operation, BJT characteristics and regions of operation, DC analysis, biasing the BJT for discrete circuits, small signal equivalent circuit models, AC analysis of Single stage BJT amplifier circuits and their configurations."
EEE1302,Electronic Devices and Circuits I Lab,1.00,N/A,Based on the theory course.
CSE1201,Structured Programming,3.00,CSE1102,"Introduction to Basics of Computer and Programming, C Fundamentals. Introduction to C Programming (input, output, variables, data type, operators, and expressions). Structured Program Development in C: Basic of Flow Chart, Control Statements 1(if, if...else, switch, top-down and stepwise refinement). Program Control: Control Statements 2 (for, do…while, switch, break and continue), Nested Loop, Loop Control Statement (break, continue, goto). Introduction to Functions (Math Library Functions, Function Definitions, Function Prototypes and Argument, Recursive functions, References and Reference Parameters, passing arguments to functions and passing arguments by reference. Introduction to Arrays (Arrays, Declaring Arrays, Examples Using Arrays, Passing Arrays to Functions, arrays of strings), Searching Arrays, Sorting Arrays, Multidimensional Arrays, passing multi-dimensional array directly to function. Pointers (Pointer Variable Declarations and Initialization, NULL Pointer, Passing Arguments to Functions by Reference with Pointers, Pointer Expressions and Pointer Arithmetic, Arrays of Pointers, Function Pointers). Characters and Strings (String Input, String Manipulation, Comparison Functions, Search Functions, and Memory Functions)."
CSE1202,Structured Programming Lab,1.00,CSE1201,Based on theory course.
CSE1203,Discrete Mathematics,3.00,N/A,"Mathematical logic: propositional logic, predicate logic, mathematical reasoning and proof techniques; set theory: sets, relations, partial ordered sets, functions; counting: permutations, combinations, principles of inclusion and exclusion; discrete probability; functions: recurrence relations and recursive algorithms; growth of functions; graph theory: graphs, paths, trees; algebraic structures: rings and groups"
CSE1301,Data Structures,3.00,"CSE1201, CSE1202","Internal data representation; Abstract data types; elementary data structures: arrays, linked lists, stacks, queues, trees and graphs; basic data structures operations: traversal, insertion, deletion, searching, merging, sorting, tree; tree traversal and graph traversal; recursion and recursive algorithm, pattern matching; advanced data structures: heaps, Fibonacci heaps; search trees: binary search trees, AVL trees, multi-way search trees, sorting, hashing."
CSE1302,Data Structures Lab,1.00,"CSE1201, CSE1202",Based on Theory course.
CSE2101,Digital Logic Design,3.00,N/A,"Course conduction on Digital logic, Boolean algebra, De-Morgan's law, logic gates and their truth tables, canonical forms, Combinational logic circuits, minimization techniques, Arithmetic and data handling logic circuits, decoders and encoders, Multiplexers and demultiplexers, Combinational Circuit design, Flip-flops, race around problems, Counters and their applications, PLA design, Synchronous and asynchronous logic design: state diagram, Mealy and Moore machines, State minimizations and assignments, Pulse mode logic, Fundamental mode design."
CSE2102,Digital Logic Design Lab,1.00,N/A,Based on Theory course.
CSE2103,Object Oriented Programming,3.00,"CSE1201, CSE1202","Object-Oriented Fundamentals, Encapsulation, Polymorphism, Inheritance, Class, Object, Java Language Introduction, Variable Types and operators, Casting, Arrays, Introducing classes, Adding methods to class, constructor, String Handling, Garbage collection, Inheritance, Inner Class, Abstract Classes, Interfaces and Packages, Exception Handling, Java Input / Output, Multithreaded Programming and Synchronization, Applet, Event Handling, Networking with Java, Introducing the Swing, Utility Classes, Java Generics."
CSE2104,Object Oriented Programming Lab,1.00,"CSE1201, CSE1202",Based on Theory course.
CSE2200,Design Project-I,1.00,CSE2103 & CSE2104,Based on object oriented programming
CSE2201,Algorithms,3.00,"CSE1201, CSE1202, CSE1203","Introduction, Growth of Functions, Techniques for analysis of algorithms; Methods for the design of efficient algorithms: divide and conquer, greedy method, dynamic programming, back tracking, branch and bound; basic search and traversal techniques; topological sorting; connected components, spanning trees, shortest paths; Flow algorithms; Approximation algorithms; Parallel algorithms, Lower bound theory; NP-completeness, NP-hard and NP-complete problems."
CSE2202,Algorithms Lab,1.00,"CSE1201, CSE1202, CSE1203",Based on theory course.
CSE2203,Computer Organization and Architecture,3.00,CSE2101,"Information representation; Measuring performance; Instructions and data access methods: operations and operands of computer hardware, representing instruction, addressing styles; Arithmetic Logic Unit (ALU) operations, floating point operations, designing ALU; Processor design: datapaths - single cycle and multicycle implementations; Control Unit design - hardwired and microprogrammed; Hazards; Exceptions; Pipeline: pipelined datapath and control, superscalar and dynamic pipelining; Memory organization: cache, virtual memory, channels; Concepts of DMA and Interrupts; Buses: overview of computer BUS standards; Multiprocessors: types of multiprocessors, performance, single bus multiprocessors, multiprocessors connected by network, clusters."
CSE2301,Database Management System,3.00,N/A,"Concepts of database systems; Data Models: Entity-Relationship model, Relational model; Query Languages: Relational algebra, SQL; Constraints and triggers; Functional dependencies and normalization; File organization and data storage; Indexing: primary and secondary indexes, B+ trees, hash tables; Query optimization; Transaction management; Recovery; Concurrency control; Access control and security; Semi-structured database: XML, XPath, XQuery; Object oriented and object relational databases."
CSE2302,Database Management System Lab,1.00,N/A,Based on theory course.
CSE2303,Automata and Theory of Computation,3.00,CSE2201,Introduction to Automata and Theory of Computation. Finite State Machines. Regular Expressions. Context Free Grammar. Push Down Automata. Turing Machine. Decidable and Undecidable Language.
CSE2305,Operating Systems,3.00,CSE2203,"Introduction: What is an operating system? History of operating system, Operating system concepts, Operating system structure, Processes and Threads, Interprocess communication, Scheduling, Classical IPC problems, Memory Management, No memory abstraction, Virtual memory, Page replacement algorithms, Design issues for paging systems, Implementation issues, File Systems, Files, Directories, File system management, Input / Output, Principles of I/O hardware, Principles of I/O software, I/O software layers, Disks, Clocks, Thin clients, Deadlocks, Resources Detection, Recovery, Avoidance, Prevention, Virtualization and Cloud."
CSE2306,Operating Systems Lab,1.00,CSE2203,Based on Theory course.
CSE3101,Microprocessor and Microcontroller,3.00,CSE2203,"Introduction of Microprocessor and its use, Microprocessor and Memory Basics, Microprocessor: microcontroller & microcomputer, evaluation of microprocessor & application, introduction to 8-bit, 16-bit, and 32-bit microprocessors; addressing modes: absolute addressing, 8086 internal architecture, PIN diagram of 8086, Max-Min mode, register structure; memory read write cycle; Instruction set; pipeline concept: interrupts, programmed I/O, memory mapped I/O, interrupt driven I/O, direct memory access; block transfer; cycle stealing; interleaved; multi-tasking and virtual memory; memory interface; bus interface; arithmetic co-processor; assembly language programming of 8086 microprocessors., serial data transmission, serial communication standards, serial interface implementation. Arduino: Buttons, PWM, and Functions, Arduino: Serial Communication and Processing, I2C, Modbus RTU, TCP/TP Communication and SPI Interfaces, Wireless Communication, Arduino: Interrupts and Hardware Handling, collecting data from external environment via sensors and send/receive data to cloud, learning about python interfacing Program to collect real time, data plotting simultaneously."
CSE3102,Microprocessor and Microcontroller Lab,1.00,CSE2203,Based on theory course.
CSE3103,System Analysis and Design,3.00,CSE2103,"System Analysis Fundamentals, tools of information system development, information systems development life cycle, tools for analysis; planning phase: systems planning, preliminary planning and investigation, determining IS development requirements, project management, Object Oriented Systems Analysis and Design and Unified Modeling Language.; analysis phase: analysing requirements, evaluating alternatives, information systems analysis principles; design phase: structured information systems design, input design and control, output system design; development phase: information systems development, computer-aided software engineering; implementation phase: systems implementation, systems evaluation and optimization, information systems documentation, Costs and benefits of different approaches to implementing new systems."
CSE3201,Artificial Intelligence & Machine Learning,3.00,"CSE2201, CSE2202, STA2101, MAT1201","Artificial Intelligence and Intelligent Agents, Problem Solving (Solving Problems by Searching, Adversarial Search, Constraint Satisfaction Problems), Knowledge and Reasoning (Logical Agents, First-Order Logic, Inference in First-Order Logic, Classical Planning, Planning and Acting in the Real World, Knowledge Representation), Uncertain Knowledge and Reasoning (Quantifying Uncertainty, Probabilistic Reasoning, Probabilistic Reasoning over Time, Making Simple Decisions, Making Complex Decisions), Learning (Learning from Examples, Knowledge in Learning, Learning, Probabilistic Models, Reinforcement Learning). Introduction to machine learning; Regression analysis: Logistic regression, linear regression; Classification techniques: Supervised and unsupervised classification; Neural networks; Support vector machines; Classification trees; Rule based learning; Instance based learning; Reinforcement learning; Ensemble learning; Negative correlation learning; Evolutionary algorithms; Genetic algorithm, Statistical performance evaluation techniques of learning algorithms: bias-variance tradeoff; Practical applications of machine learning recent applications of machine learning, such as to robotic control, data mining, autonomous navigation, bioinformatics, speech recognition, and text and web data processing"
CSE3202,Artificial Intelligence & Machine Learning Lab,1.00,"CSE2201, CSE2202, STA2101, MAT1201",Based on theory course.
CSE3203,Software Engineering,3.00,CSE3103,"Introduction to Software Engineering as a Discipline. Software Life Cycles. Software Requirement Specification and Analysis, Object Oriented Analysis and Design, Design patterns, Architectural patterns and scaling concern, Software Quality Assurance, Project management, Testing."
CSE3205,Computer Networks,3.00,N/A,"Introduction to computer networks: protocol layers, network performance Metrics-Delay, loss, throughput, jitter; circuit and packet switching; application layer: protocol overview of HTTP, FTP, SMTP, DNS, SNMP, P2P, client server and hybrid applications of the Internet; transport layer: protocol overview of TCP and UDP, principles of reliable data transfer, flow control, congestion control, TCP Reno, TCP Tahoe, socket programming; network layer: overview of IPv4 and IPv6, IP addressing, components of a router, routing and forwarding functions of a router, routing algorithms: link state and distance vector, OSPF and BGP; wireless networks: definition and types of wireless networks, MAC and routing in wireless networks, mobility and mobile IPv6."
CSE3206,Computer Networks Lab,1.00,N/A,Based on theory course.
CSE3301,Cyber Security,3.00,"CSE2305, CSE2306, CSE3205, CSE3206","Introduction to cyber security. Basic concepts: confidentiality, integrity, availability, security policies, security mechanisms, assurance. Basic Cryptography; Secret Key Cryptography, Message Digests, Public Key Cryptography; Authentication; Trusted Intermediaries; Real-time Communication Security; Electronic Mail Security; Firewalls and Web Security. Computer Security Management, Establishing and Managing Information Assurance, Forensics of Cyber Security, Hacking Techniques, Investigation and Response: Systems Forensics."
CSE3120,Web Programming Lab,1.00,CSE2103 & CSE2104,"Introduction to Web Technologies. HTML5, CSS3 with it's new components. JavaScript, jQuery, AJAX. Data transmission, formats and processes. XML and JSON."
CSE3200,Design Project-II,1.00,"CSE2301, CSE2302, CSE3103, CSE2200",Software Design.
CSE4401,Computer Graphics,3.00,MAT1201,"Introduction to Graphical data processing, Fundamentals of interactive graphics programming, Architecture of display devices and connectivity to a computer, Implementation of graphics concepts of two-dimensional and three-dimensional viewing, clipping and transformations, Hidden line algorithms, Raster graphics concepts: Architecture, algorithms and other image synthesis methods, Design of interactive graphic conversations."
CSE4402,Computer Graphics Lab,1.00,MAT1201,Lab works based on CSE 401.
CSE4403,Advanced Algorithm,3.00,"CSE22012, CSE2202","Computational complexity, Parameterized complexity, Algorithms for combinatorial optimization, practical computing and heuristics, Approximation algorithms, LP based approximation algorithms, randomized algorithms, Experimental algorithmic, Algorithms in state-of-the-art fields like Bioinformatics, Grid Computing, VLSI design etc."
CSE4405,Compiler Design,3.00,CSE2303,"Theory and Practice; An introduction to compiler and interpreter design, with emphasis on practical solutions using compiler writing tools such as Yacc in UNIX, and the C programming language, Topics covered include: lexical scanners, context free languages and pushdown automata, recursive descent parsing, bottom up parsing, attributed grammars, symbol table design, run time memory allocation, machine language, code generation and optimisation."
CSE4405,Compiler Design,3.00,CSE2303,"Theory and Practice; An introduction to compiler and interpreter design, with emphasis on practical solutions using compiler writing tools such as Yacc in UNIX, and the C programming language, Topics covered include: lexical scanners, context free languages and pushdown automata, recursive descent parsing, bottom up parsing, attributed grammars, symbol table design, run time memory allocation, machine language, code generation and optimisation."
CSE4406,Compiler Design Lab,1.00,CSE2303,Lab works based CSE4405
CSE4407,Basic Graph Theory,3.00,CSE2303,"simple graphs, digraphs, subgraphs, vertex-degrees, walks, paths and cycles; Trees, spanning trees in graphs, distance in graphs; Complementary graphs, cut-vertices, bridges and blocks, k-connected graphs; Euler tours, Hamiltonian cycles, Chinese Postman Problem, Traveling Salesman Problem; Chromatic number, chromatic polynomials, chromatic index, Vizingâ€™s theorem, planar graphs, perfect graphs."
CSE4409,Mathematical Analysis for Computer Science,3.00,"STA2101, CSE2303","Recurrent problems; Manipulation of sums; Number theory; Special numbers; Generating functions. Random variables; Stochastic process; Markov chains: discrete parameter, continuous parameter, birth-death process; Queuing models: birth-death model, Markovian model, open and closed queuing network; Application of queuing models."
CSE4411,Computational Geometry,3.00,"CSE2303, MAT1101, MAT1201, MAT2101","Topics in surface modeling: b-splines, non-uniform rational b-splines, physically based deformable surfaces, sweeps and generalized cylinders, offsets, blending and filleting surfaces. Non-linear solvers and intersection problems. Solid modeling: constructive solid geometry, boundary representation, non-manifold and mixed-dimension boundary representation models, octrees. Robustness of geometric computations. Interval methods. Finite and boundary element discretization methods for continuum mechanics problems. Scientific visualization. Variational geometry. Tolerances. Inspection methods. Feature representation and recognition. Shape interrogation for design, analysis, and manufacturing. Involves analytical and programming assignments."
CSE4413,Topics of Current Interest,3.00,,As necessary.
CSE4415,Data Communication,3.00,N/A,"Signal and random processes; Review of Fourier Transform; Hilbert Transform, continuous wave modulation: AM, PM, FM; Sampling theorem; Pulse modulation: PAM, PDM, PPM, PCM, companding, delta modulation, differential PCM; Multiple access techniques: TDM, FDM; Digital modulation: ASK, PSK, BPSK, QPSK, FSK, MSK, constellation, bit error rate (BER); Noise; Echo cancellation; Intersymbol Interference; Concept of channel coding and capacity. Synchronous and asynchronous communications; Hardware interfaces, multiplexers, concentrators and buffers; Communication mediums and their characteristics; Data communication services: SMDS and ATM; Error control codes: linear block codes, cyclic codes, MLDC codes, convolution codes, Trellis code modulation; Digital switching: space and time division switching; Radio system design; Fiber optics communication: transmitter, receivers, network components, WDM; Line coding, trunks, multiplexing, switching, ATM switches; Satellite communications: frequency bands and characteristics, types of satellites, transmission impairments, capacity allocation; Multiple access techniques."
CSE4416,Data Communication Lab,1.00,N/A,Lab works based CSE4415
CSE4417,Internet of Things,3.00,"CSE3205, CSE3206","Introduction to Internet in general and Internet of Things: layers, protocols, packets, services, performance parameters of a packet network as well as applications such as web, Peer-to-peer, sensor networks, and multimedia. Transport services: TCP, UDP, socket programming; Network layer: forwarding & routing algorithms (Link, DV), IP-addresses, DNS, NAT, and routers; Local Area Networks, MAC level, link protocols such as: point-to-point protocols, Ethernet, WiFi 802.11, cellular Internet access, and Machine-to-machine; Mobile Networking: roaming and handoffs, mobile IP, and ad hoc and infrastructure less networks; Real-time networking: soft and real time, quality of service/information, resource reservation and scheduling, and performance measurements; IoT definitions: overview, applications, potential & challenges, and architecture; IoT examples: Case studies, e.g. sensor body-area-network and control of a smart home."
CSE4418,Internet of Things Lab,1.00,"CSE3205, CSE3206",Lab works based CSE4417
CSE4419,Network Security,3.00,CSE3301,"Introduction to network security. Basic concepts: confidentiality, integrity, availability, security policies, security mechanisms, assurance.Basic Cryptography; Secret Key Cryptography, Message Digests, Public Key Cryptography; Authentication; Trusted Intermediaries; Real-time Communication Security; Electronic Mail Security; Firewalls and Web Security."
CSE4420,Network Security Lab,1.00,CSE3301,Lab works based CSE4419
CSE4421,Wireless and Cellular Communication,3.00,N/A,"Introduction to wireless communications: history and evolution, current wireless communication system    s, requirements of wireless services, and technical challenges of wireless communications. Radio wave propagation in the mobile environment: Free-space propagation, propagation mechanisms, large scale and small scale fading, path loss models, statistical channel models: narrowband and wideband models, System Planning: mobile radio link design, and introduction to radio network planning. Overview of wireless access networks: base and subscriber stations, multiple access technologies, noise and interference in wireless communication systems, diversity reception, MIMO communication: MIMO narrowband channel model, transmit diversity and spatial multiplexing Evolution of cellular systems, principles and operation of cellular systems, narrowband systems: FDMA and TDMA systems, frequency planing, and capacity considerations, CDMA wideband systems: resource allocation, soft handover, power control, interference and capacity, OFDMA wideband systems, and Standardized cellular communications systems. Wireless Network Standards: Wireless LANs, wireless MANs, short range wireless networks, standards, capabilities and applications, broadband wireless networks, and integration of different types of wireless networks Wireless Sensor Networks: Introduction to sensor networks and applications, issues in sensor networks in comparison to conventional wireless networks, special design considerations in energy conservation, routing etc."
CSE4423,Digital Signal Processing,3.00,N/A,"Discrete time signals and systems: Fourier and Z transforms, DFT, 2-dimensional versions; Linear time invariant discrete time systems; Digital signal processing topics: flow graphs, realizations, FFT, quantization effects, linear prediction; Digital filter design methods: windowing, frequency sampling, S-to-Z methods, frequency-transformation methods, optimization methods, 2-dimensional filter design; Quantization of signals and filter coefficients; Oversampling techniques for ADC and DAC."
CSE4425,Advanced Network Services and Management,3.00,"CSE3205, CSE3206","Network management: Layers of network management; infrastructure for network management; the key areas of network management (accounting, security, configuration, performance, and fault tolerance); the Internet management framework and protocols (SNMP, MlBs, and so on); practical limitations and case studies; and so on. Network security: Principles of cryptography; principles of information security; authentication; access control; integrity; attacks and countermeasures; secure network protocols (551., IPscc, and so on); practical limitations and case studies; and so on. Mobile and wireless data communications: Satellite communications; cellular wireless networks; mobile IP; wireless LAN technologies (802.11, Bluetooth, and so on); the Wireless Application Protocol (WAP); the Wireless Markup Language; and so on. Multimedia networking: Multimedia networking applications; multimedia information representation; streaming stored audio and video; video and audio conferencing; voice over IP; real-time communication protocols; RSVP; differentiated services; and so on."
CSE4427,Topics of Current Interest,3.00,N/A,As necessary.
CSE4429,Software Security,3.00,CSE3301,"Introduction to software security, Software vulnerabilities: memory (un-)safety, Introduction to reverse engineering, Dynamic defense mechanisms, Static protection through bug finding, Finding and exploiting vulnerabilities, Operating system security and forensics, Protecting data, Defense in practice, Web security, Browser security, Android/mobile security, Malware analysis."
CSE4430,Software Security Lab,1.00,CSE3301,Lab works based CSE4429
CSE4431,Blockchain,3.00,N/A,"This course of the Blockchain specialization provides a broad overview of the essential concepts of blockchain technology – by initially exploring the Bitcoin protocol followed by the Ethereum protocol – to lay the foundation necessary for developing applications and programming. You will be equipped with the knowledge needed to create nodes on your personal Ethereum blockchain, create accounts, unlock accounts, mine, transact, transfer Ethers, and check balances."
CSE4433,Cryptography,3.00,CSE3301,Cryptography is an indispensable tool for protecting information in computer systems. This course contains the inner workings of cryptographic systems and how to correctly use them in real-world applications. The course begins with a detailed discussion of how two parties who have a shared secret key can communicate securely when a powerful adversary eavesdrops and tampers with traffic. Examine many deployed protocols and analyze mistakes in existing systems. Discussion on public-key techniques that let two parties generate a shared secret key.
CSE4435,"ICT Law, Policy and Ethics",3.00,"GED 2159, GED 2248","This course consists of a sustained study of ethical and legal issues that arise in relation to employment in the public and private sectors, including allocation of resources, corporate and social responsibility, relationships, and discrimination. A main focus of this course will be on the ethical and legal standards governing information technology. New technology creates ethical challenges for individuals around the globe and applies to most persons regardless of whether they are employed in the information technology field or a more traditional occupation. The study of Cyber Ethics provides a framework for making ethical decisions that professionals are likely to encounter in the workplace. This course will not only focus on ethics but on the legal, economic, social, cultural and global impacts of decisions that are made in the context of professional occupations."
CSE4437,Digital Forensics and Incident Response,3.00,CSE3301,"The overview of Principles of Forensics and IR, Data Collection Techniques, Forensic Hardware, Chain of Custody, Basic Incident Response Process, Pre-Incident Preparation, Documentation Requirements, Common Approaches, Containment and Remediation Strategies, Malware Footprints, Data Volatility, Installed Software and Hotfixes, Persistence Mechanisms, Windows Audit Policies, Malware Analysis, Prefetch Analysis, The Windows Registry, Windows Event Log Analysis, File Carving, Email Header Analysis, Determining File Headers, Extraction of Attachments, Extracting Specific File Types, Deleted Files and Recovery, Use of Hash Sets, Adding Hash Sets, Advantages of Timeline, Timeline Creation, Sources of Network Data, PCAP Analysis with Wireshark, Network Footprint Basics of Memory Acquisition and Analysis, Highlight Power of Memory, Live Response Best Practices and Order of Volatility, Following the Process Tree and Unix/Linux File Permissions."
CSE4439,Topics of Current Interest,3.00,N/A,As necessary
CSE4441,Real-time Embedded Systems,3.00,CSE3101,"Background, history, classifications, programming languages for embedded systems. Combinational logic and transistors, RT-level combinational and sequential components, customized single purpose processor design. Structure of microcontrollers, CPU, memory and I/O structure, various microcontrollers, ARM. I/O and memory mapping, addressing modes, interrupts and traps, bus protocols, DMA, system bus configurations, RAM, ROM, SDRAM, flash, basic I/O interfaces. Parallel ports, LEDs, pushbutton, keypad, 7-segment display, LCD display, touchscreen, timers and counters, serial Interface, networked embedded systems. C-language primer, state machines, streams, circular buffers. Development environment, hardware/software debugging techniques, performance analysis, use of hardware debugging modules. CPU and hardware acceleration, multiprocessor performance analysis. Design methodologies and flows, requirement analysis, specifications description, system analysis and architecture design, quality assurance."
CSE4442,Real-time Embedded Systems Lab,1.00,CSE3102,Lab works based CSE 4441
CSE4443,Distributed Systems,3.00,"CSE2305, CSE3101","This course covers general introductory concepts in the design and implementation of distributed systems, covering all the major branches such as Cloud Computing, Grid Computing, Cluster Computing, Supercomputing, and Many-core Computing. The specific topics that this course will cover are: scheduling in multiprocessors, memory hierarchies, synchronization, concurrency control, fault tolerance, data parallel programming models, scalability studies, distributed memory message passing systems, shared memory programming models, tasks, dependence graphs and program transformations, parallel I/O, applications, tools (Cuda, Swift, Globus, Condor, Amazon AWS, OpenStack, Cilk, gdb, threads, MPICH, OpenMP, Hadoop, FUSE), SIMD, MIMD, fundamental parallel algorithms, parallel programming exercises, parallel algorithm design techniques, interconnection topologies, heterogeneity, load balancing, memory consistency model, asynchronous computation, partitioning, determinacy, Amdahl's Law, scalability and performance studies, vectorization and parallelization, parallel programming languages, and power."
CSE4445,Simulation and Modeling,3.00,"STA2101, CSE2201","System Models- Entities, Attributes, States, Activities, Types of Models, Static & Dynamic Models, Deterministic & Stochastic Activities. Principles used in Modeling. System Simulation Continuous & Discrete event simulation Languages- GPSS, SIMULA, CSMP, DYNAMO. Probability concepts in Simulation- Random number, stochastic processes, Birth-Death process. Parameter estimation & input/output validation. Statistical Hypothesis Testing. Queuing Systems, M/M/I & M/M./m queues, Bulk arrival & Bulk service systems. Queuing networks. Computational algorithms & approximation techniques. Workload characterization & performance evaluation of computer systems. Evaluation of program performance. Case studies."
CSE4446,Simulation and Modeling Lab,1.00,CSE2201,Lab works based CSE4445
